date,cpi_yoy,gdp_yoy,usd_idr,policy_rate_7drr,deposit_rate_1m,deposit_rate_3m,deposit_rate_6m,deposit_rate_12m,jibor_avg,ipi,pmi,money_supply,jci
1969-01-31,35.55557938,,326.0,,,,,,,,,1448.24533808,
1969-02-28,25.25251963,,326.0,,,,,,,,,1509.04620248,
1969-03-31,24.50980032,,326.0,,,,,,,,,1960.591421,
1969-04-30,26.0416641,,326.0,,,,,,,,,1642.75190836,
1969-05-31,19.801969,,326.0,,,,,,,,,1696.45112232,
1969-06-30,14.42307929,,326.0,,,,,,,,,2227.29841495,
1969-07-31,11.00916453,,326.0,,,,,,,,,1867.51469024,
1969-08-31,11.60714945,,326.0,,,,,,,,,2021.9981046,
1969-09-30,11.60714945,,326.0,,,,,,,,,2610.6649103,
1969-10-31,14.41441409,,326.0,,,,,,,,,2137.48010992,
1969-11-30,-5.14706063,,326.0,,,,,,,,,2171.87760124,
1969-12-31,9.16667692,,326.0,,,,,,,,,2821.2843094,
1970-01-31,15.57376255,,326.0,,,,,,,,,2314.92157892,
1970-02-28,13.70967435,,326.0,,,,,,,,,2387.96557144,
1970-03-31,10.23622609,,326.0,,,,,,,,,3159.1402412,
1970-04-30,14.04960131,,352.0,,,,,,,,,2207.67167592,
1970-05-31,14.04960131,,378.0,,,,,,,,,2283.39846696,
1970-06-30,17.64706466,,378.0,,,,,,,,,2833.87775115,
1970-07-31,15.70248983,,378.0,,,,,,,,,2326.27984948,
1970-08-31,12.00000126,,378.0,,,,,,,,,2919.5038203,
1970-09-30,9.60000731,,378.0,,,,,,,,,2401.27314384,
1970-10-31,7.87402723,,378.0,,,,,,,,,2423.2497694,
1970-11-30,10.0775253,,378.0,,,,,,,,,3238.9487747,
1970-12-31,9.16029697,,378.0,,,,,,,,,2656.27925784,
1971-01-31,4.25532242,,378.0,,,,,,,,,2763.28385948,
1971-02-28,7.09219472,,378.0,,,,,,,,,2808.93619172,
1971-03-31,7.85713703,,378.0,,,,,,,,,3491.22267995,
1971-04-30,7.97100829,,378.0,,,,,,,,,2873.27248624,
1971-05-31,5.07245074,,378.0,,,,,,,,,3708.29517895,
1971-06-30,2.14285172,,378.0,,,,,,,,,3045.44058588,
1971-07-31,2.14285172,,378.0,,,,,,,,,3046.62203464,
1971-08-31,1.42856781,,396.5,,,,,,,,,3889.59054325,
1971-09-30,2.91970047,,415.0,,,,,,,,,2921.25543964,
1971-10-31,4.37955071,,415.0,,,,,,,,,2976.3878186,
1971-11-30,3.52113184,,415.0,,,,,,,,,3810.4355774,
1971-12-31,2.0978969,,415.0,,,,,,,,,3109.6199128,
1972-01-31,1.36054075,,415.0,,,,,,,,,3927.9930133,
